EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
true,false,8,256,0.1,Rmsprop,20,9,5,1,4
true,false,16,256,1.0,SGD,30,20,5,1,4
true,false,2,128,0.1,Rmsprop,10,12,5,2,4
true,false,2,128,0.1,Rmsprop,20,21,5,3,4
true,false,16,128,0.1,Rmsprop,30,46,5,3,4
true,false,4,128,0.1,Rmsprop,30,14,5,4,4
true,false,1,128,1.0,SGD,20,15,5,4,4
true,false,16,256,0.1,Rmsprop,20,17,5,8,4
true,false,1,128,0.1,Rmsprop,10,17,5,8,4
false,false,16,128,0.001,Adam,10,8,5,9,4
false,false,8,256,0.01,Adam,20,7,5,11,4
true,false,8,256,0.1,Adam,10,14,5,11,4
false,false,16,256,0.01,Adam,10,26,5,13,4
true,false,4,256,1.0,SGD,30,6,5,23,4
false,false,1,256,0.01,Rmsprop,10,9,5,25,4
false,false,1,256,0.01,Rmsprop,30,16,5,25,4
false,false,1,128,0.01,Adam,30,9,5,31,4
true,false,2,128,0.001,Rmsprop,20,8,5,40,4
true,false,2,256,0.001,Adam,10,7,5,64,4
true,false,2,128,0.001,Rmsprop,10,4,5,79,4
true,false,8,128,0.001,Rmsprop,10,5,5,81,4
false,false,8,256,0.01,SGD,20,5,5,84,4
true,false,16,128,0.01,SGD,30,5,5,86,4
false,false,16,256,0.01,SGD,20,4,5,87,4
true,false,4,128,0.001,Rmsprop,10,4,5,89,4
true,false,4,128,0.01,SGD,30,4,5,89,4
true,false,2,256,0.01,SGD,20,5,5,90,4
true,false,4,256,0.1,Rmsprop,30,7,6,0,3
false,true,8,128,0.01,Adam,20,70,6,0,3
true,true,4,128,0.1,Adam,10,38,6,0,3
true,false,4,128,1.0,SGD,30,9,6,0,3
false,false,8,128,0.1,Adam,20,15,6,1,3
true,false,2,256,0.1,Adam,10,33,6,2,3
true,false,1,128,0.1,Rmsprop,20,15,6,3,3
true,false,4,128,1.0,SGD,10,7,6,3,3
true,true,1,128,0.1,Adam,20,63,6,4,3
true,true,2,128,0.1,Adam,10,15,6,5,3
true,false,4,128,0.1,Rmsprop,10,11,6,5,3
true,false,2,256,1.0,SGD,10,6,6,7,3
true,false,16,128,1.0,SGD,20,25,6,8,3
false,false,16,128,0.1,Rmsprop,30,18,6,9,3
false,false,8,128,0.01,Adam,30,4,6,10,3
false,false,2,128,0.1,Rmsprop,30,21,6,13,3
